cgpa,math_score,programming_score,communication_score,ml_skill,web_skill,security_skill,cloud_skill,stats_skill,internship_count,project_count,interest_area,career_path
3.66,45,56,98,8,8,1,2,4,0,0,security,Web Development
3.1,59,47,82,0,8,5,3,8,2,4,ai,Data Science
3.27,98,59,89,1,8,4,3,9,0,0,data,Data Science
3.57,70,95,86,1,6,5,3,6,3,5,ai,Web Development
3.63,61,86,73,0,6,6,9,9,1,1,ai,Data Science
3.45,53,92,87,4,8,9,1,1,3,5,ai,Web Development
3.69,43,77,58,5,1,1,8,6,2,4,cloud,Cloud / DevOps Engineering
2.85,64,72,88,0,2,5,9,2,3,5,web,Cloud / DevOps Engineering
3.24,54,83,75,6,5,1,4,6,2,4,cloud,AI / Machine Learning Engineering
2.52,91,85,66,2,7,9,3,1,1,0,cloud,Web Development
3.58,81,95,75,3,3,5,6,5,0,3,data,Data Science
3.09,48,54,49,7,9,8,9,7,3,0,ai,Web Development
2.93,75,49,72,6,1,4,0,2,3,1,web,AI / Machine Learning Engineering
3.42,48,53,52,8,8,1,2,6,0,1,web,Web Development
3.05,79,76,72,3,2,8,7,0,2,5,ai,Cyber Security
3.33,93,83,97,2,5,5,1,6,3,1,ai,Data Science
3.72,94,55,81,8,6,0,7,3,2,5,ai,AI / Machine Learning Engineering
4.0,57,47,78,0,4,5,3,1,0,5,data,Data Science
3.22,42,91,62,9,3,1,6,5,2,5,web,AI / Machine Learning Engineering
3.31,55,46,91,8,4,2,1,1,2,1,cloud,AI / Machine Learning Engineering
3.56,40,85,55,5,3,2,2,8,1,0,security,AI / Machine Learning Engineering
3.3,70,53,59,1,5,1,6,2,2,2,web,Web Development
2.6,62,58,48,2,4,8,2,6,3,3,web,Web Development
3.4,77,78,89,4,3,2,6,5,1,4,ai,AI / Machine Learning Engineering
2.8,44,40,52,4,9,1,4,4,1,4,cloud,Web Development
2.72,91,87,99,1,7,2,8,3,0,5,ai,Web Development
3.16,79,60,67,6,1,7,5,7,0,0,data,Data Science
3.11,96,62,82,0,2,7,2,7,0,4,web,Data Science
3.7,47,49,77,0,7,7,8,8,1,1,data,Data Science
2.89,66,79,41,5,4,1,9,0,3,1,ai,AI / Machine Learning Engineering
3.11,85,88,95,4,2,9,6,6,0,3,cloud,Cyber Security
3.56,83,71,50,5,5,8,5,1,1,4,security,Cyber Security
3.52,42,93,58,6,6,8,4,7,1,1,data,Data Science
3.3,85,78,66,1,8,8,3,3,1,1,security,Cyber Security
2.87,59,49,63,5,2,9,4,5,0,5,security,Cyber Security
4.0,63,76,55,9,6,3,3,7,1,1,web,Web Development
3.38,51,69,97,5,4,3,2,3,1,0,web,Web Development
2.79,43,59,87,5,6,8,9,4,0,3,ai,AI / Machine Learning Engineering
3.01,90,44,68,4,3,0,4,9,3,4,security,Data Science
3.18,60,69,63,9,5,6,2,6,3,5,ai,AI / Machine Learning Engineering
3.19,95,82,59,1,9,8,4,3,1,0,security,Cyber Security
3.66,95,53,96,4,9,4,1,4,2,1,data,Data Science
3.31,72,56,63,1,9,8,6,5,0,0,web,Web Development
2.75,49,73,55,2,6,5,7,7,1,3,ai,Data Science
3.52,54,95,79,4,5,3,8,7,1,3,security,Cloud / DevOps Engineering
3.32,64,98,89,2,4,2,7,9,3,3,security,Data Science
3.23,81,99,59,5,1,6,2,2,2,1,data,AI / Machine Learning Engineering
3.51,76,43,69,5,5,2,8,6,3,0,web,Web Development
3.67,64,59,73,9,4,2,8,3,1,1,data,AI / Machine Learning Engineering
3.25,69,65,87,4,7,9,0,4,2,3,cloud,Web Development
3.83,83,50,69,2,0,3,1,1,2,3,security,Cyber Security
3.07,54,60,74,8,4,4,3,3,3,0,security,AI / Machine Learning Engineering
3.47,66,73,95,5,3,4,7,2,2,5,cloud,Cloud / DevOps Engineering
3.42,67,59,84,6,8,6,8,2,2,3,data,Web Development
3.19,64,53,50,4,2,8,8,3,2,3,cloud,Cloud / DevOps Engineering
3.0,51,74,50,1,4,4,4,3,0,2,web,Web Development
2.81,61,79,60,2,5,3,8,2,3,3,data,Cloud / DevOps Engineering
3.79,40,47,62,5,5,5,8,1,0,4,web,Web Development
2.84,52,77,88,0,7,3,0,9,2,4,web,Web Development
3.25,98,78,94,8,6,2,0,7,3,2,web,Web Development
3.01,84,86,62,0,3,1,1,1,3,5,cloud,Cloud / DevOps Engineering
3.12,90,54,80,6,1,8,9,1,2,2,web,Cyber Security
3.28,42,55,69,7,1,0,8,2,2,0,data,AI / Machine Learning Engineering
3.73,77,67,60,5,1,3,2,6,0,4,cloud,Data Science
3.8,62,79,50,9,8,5,3,0,3,1,data,AI / Machine Learning Engineering
3.72,82,86,70,0,0,5,4,7,1,3,web,Data Science
3.15,82,66,81,2,1,5,4,9,0,1,data,Data Science
2.58,87,61,43,4,4,8,0,1,0,5,ai,Cyber Security
3.21,83,60,83,6,3,2,0,7,0,2,data,Data Science
2.78,63,97,58,4,6,4,7,4,0,4,web,Web Development
3.32,67,44,56,7,3,8,9,5,0,2,web,Cloud / DevOps Engineering
2.62,72,63,62,8,2,1,0,2,0,5,web,AI / Machine Learning Engineering
3.27,47,91,84,0,0,0,0,7,2,5,ai,Data Science
3.63,80,63,74,7,8,2,2,1,3,1,cloud,Web Development
3.52,48,40,75,2,1,7,6,8,1,5,ai,Data Science
2.91,73,81,99,5,1,1,9,7,2,3,cloud,Cloud / DevOps Engineering
3.22,78,40,56,8,4,4,2,4,2,0,security,AI / Machine Learning Engineering
3.29,59,71,89,1,3,4,7,5,1,3,data,Data Science
3.33,50,80,51,0,8,0,9,9,1,5,security,Web Development
3.49,83,43,75,1,2,2,0,5,3,3,security,Data Science
3.03,82,52,76,0,7,0,3,8,1,0,data,Data Science
3.2,80,74,86,1,2,8,6,8,0,1,web,Data Science
3.54,75,84,62,1,8,7,7,6,3,1,security,Web Development
3.25,88,93,93,9,4,4,9,4,1,1,data,AI / Machine Learning Engineering
4.0,63,68,82,8,3,9,9,5,0,3,web,Cloud / DevOps Engineering
2.59,76,45,46,4,8,0,6,9,2,3,web,Web Development
3.34,71,50,47,0,6,8,7,7,0,5,data,Data Science
2.92,83,65,43,9,7,8,6,4,3,3,web,Web Development
3.71,84,58,50,4,7,7,3,0,0,3,ai,Web Development
3.38,59,91,80,7,5,0,1,5,2,1,ai,AI / Machine Learning Engineering
3.13,49,85,52,2,5,7,0,0,3,2,security,Cyber Security
4.0,94,77,93,1,9,5,3,2,0,2,ai,Web Development
2.91,69,40,82,6,0,3,7,1,1,4,web,AI / Machine Learning Engineering
2.92,41,94,47,5,4,8,2,9,3,0,data,AI / Machine Learning Engineering
3.17,65,53,56,1,3,3,4,1,3,0,ai,AI / Machine Learning Engineering
3.24,50,95,90,4,2,9,2,2,0,3,web,AI / Machine Learning Engineering
2.86,87,78,85,8,3,9,2,4,0,2,data,AI / Machine Learning Engineering
2.03,92,95,91,6,4,4,8,8,0,0,data,Data Science
3.19,90,61,86,3,5,2,3,8,0,4,web,Data Science
3.02,98,86,93,3,6,7,5,4,1,4,data,Data Science
3.51,61,96,56,3,3,8,4,4,1,0,web,Cyber Security
3.53,62,97,78,8,0,1,8,8,0,5,ai,AI / Machine Learning Engineering
2.24,54,75,71,3,1,0,2,3,2,5,security,AI / Machine Learning Engineering
3.28,88,79,58,4,0,4,5,7,0,5,web,Data Science
3.35,76,47,46,7,6,2,1,6,2,2,data,Data Science
2.79,56,45,72,4,8,4,5,7,2,0,ai,AI / Machine Learning Engineering
3.42,52,59,93,6,6,6,2,5,0,3,ai,AI / Machine Learning Engineering
3.81,65,59,80,0,0,6,2,9,1,0,security,Data Science
2.73,86,77,59,8,5,3,2,3,2,1,ai,AI / Machine Learning Engineering
2.75,99,41,68,3,0,2,9,8,1,4,cloud,Cloud / DevOps Engineering
3.62,67,40,88,3,6,0,8,3,2,0,ai,Cloud / DevOps Engineering
3.19,66,93,89,2,3,4,8,3,0,2,security,Cyber Security
3.52,79,78,88,4,6,3,0,8,1,4,data,Data Science
3.84,69,87,94,9,1,5,2,3,2,4,security,AI / Machine Learning Engineering
2.65,82,64,78,0,0,5,4,8,1,2,web,Data Science
4.0,76,54,67,1,1,5,9,8,0,3,web,Data Science
3.19,77,77,60,4,0,9,4,1,2,2,cloud,Cyber Security
3.24,62,64,60,9,3,7,8,6,1,4,ai,AI / Machine Learning Engineering
3.27,61,80,93,4,9,6,0,6,3,2,web,Web Development
2.1,94,79,60,1,4,5,1,5,1,0,ai,AI / Machine Learning Engineering
3.1,50,53,78,6,5,2,5,7,3,2,web,Data Science
2.85,89,73,90,5,0,1,0,4,3,4,ai,AI / Machine Learning Engineering
3.15,88,78,92,0,0,0,8,2,2,4,web,Cloud / DevOps Engineering
3.34,90,83,90,5,8,6,2,2,1,0,cloud,Web Development
3.18,71,47,61,5,8,7,3,3,0,0,data,Web Development
2.95,79,98,94,3,3,9,1,0,0,3,web,Cyber Security
2.33,71,97,91,0,2,4,2,6,3,0,ai,Data Science
3.79,81,76,92,5,9,9,5,7,3,2,data,Data Science
3.35,65,41,89,2,9,6,1,0,3,5,security,Web Development
2.87,97,85,52,3,6,5,9,6,0,3,web,Web Development
2.52,60,71,74,4,7,1,5,8,3,5,cloud,Data Science
2.92,87,66,59,9,2,2,0,2,3,2,ai,AI / Machine Learning Engineering
3.45,71,75,71,6,9,2,2,4,0,4,web,Web Development
2.87,59,87,58,6,7,1,6,4,2,2,web,Web Development
3.2,71,50,57,6,5,1,7,6,2,4,web,Web Development
3.06,79,51,61,5,1,0,1,3,1,0,web,AI / Machine Learning Engineering
2.76,76,88,77,1,3,5,9,7,3,2,data,Data Science
2.75,84,98,86,7,4,6,7,8,2,2,data,Data Science
2.99,94,51,88,0,9,2,1,1,2,3,data,Web Development
3.04,47,68,69,7,9,6,0,3,0,4,data,Web Development
3.19,94,50,67,4,5,9,7,7,2,3,ai,Data Science
2.73,52,64,87,1,2,7,0,9,2,4,cloud,Cyber Security
3.18,83,77,58,6,8,2,1,6,2,3,web,Web Development
3.64,93,43,99,6,7,8,5,5,3,3,data,Data Science
3.75,94,47,96,5,2,9,2,0,2,4,security,Cyber Security
3.06,61,43,52,9,1,0,3,3,0,0,data,Data Science
2.83,65,86,98,6,4,0,8,6,1,5,web,Web Development
3.26,91,54,48,3,9,4,6,3,1,0,cloud,Web Development
3.81,96,96,47,7,0,7,9,2,2,2,security,Cyber Security
3.12,77,76,84,2,5,7,8,0,2,2,ai,Cyber Security
2.73,41,77,94,4,2,3,3,5,1,0,ai,AI / Machine Learning Engineering
3.16,40,81,57,7,0,7,7,1,3,5,data,AI / Machine Learning Engineering
2.54,93,81,48,9,3,7,9,2,2,4,data,AI / Machine Learning Engineering
3.05,51,62,43,6,6,0,5,8,1,5,cloud,Data Science
2.79,54,97,97,3,8,4,7,8,1,4,ai,Web Development
3.76,91,88,47,6,4,9,4,6,0,2,cloud,AI / Machine Learning Engineering
2.82,65,52,98,7,5,9,8,6,2,1,web,Cyber Security
2.59,86,40,40,8,9,5,9,4,2,0,data,Web Development
3.02,84,45,74,7,5,0,4,7,2,3,data,Data Science
2.2,45,98,89,1,3,0,8,6,3,3,data,Data Science
3.49,71,97,87,7,7,0,6,1,0,2,ai,AI / Machine Learning Engineering
2.72,98,55,67,3,9,1,2,5,3,2,ai,Web Development
2.59,55,74,69,9,5,1,1,4,0,4,ai,AI / Machine Learning Engineering
2.06,54,79,97,8,4,9,3,5,3,2,web,AI / Machine Learning Engineering
2.91,71,61,95,5,2,5,0,3,1,2,web,AI / Machine Learning Engineering
3.12,91,62,69,8,1,7,8,9,1,1,data,Data Science
3.05,41,51,96,9,1,5,0,2,1,2,data,AI / Machine Learning Engineering
3.24,52,43,78,5,1,9,7,6,2,5,data,Data Science
2.75,47,44,65,3,5,4,6,9,2,4,cloud,Cloud / DevOps Engineering
2.62,60,76,66,6,3,3,8,5,2,3,web,Cloud / DevOps Engineering
3.63,82,93,68,3,5,3,3,3,0,2,web,Web Development
3.05,59,62,50,4,5,9,3,1,0,1,web,Web Development
3.22,70,58,70,4,1,3,9,1,1,3,security,AI / Machine Learning Engineering
2.94,60,43,46,9,1,0,0,0,2,3,security,AI / Machine Learning Engineering
2.99,50,84,42,2,9,0,5,1,0,1,web,Web Development
2.78,52,95,80,5,9,4,5,5,0,3,security,Web Development
3.23,96,73,87,3,6,1,0,2,3,3,data,Data Science
3.2,49,85,53,4,1,7,1,9,3,5,data,Data Science
3.24,72,84,75,3,1,5,2,6,3,4,ai,AI / Machine Learning Engineering
3.67,53,46,85,0,8,5,1,4,0,2,web,Web Development
3.67,98,59,74,4,8,5,8,5,1,4,cloud,Cloud / DevOps Engineering
3.17,93,65,55,2,3,2,0,9,0,0,web,Data Science
2.83,66,83,51,3,3,8,6,3,2,5,cloud,Cloud / DevOps Engineering
3.17,84,61,82,2,7,3,7,9,1,2,web,Web Development
2.58,65,81,66,5,1,2,5,3,1,0,web,AI / Machine Learning Engineering
2.65,65,77,85,2,4,4,4,7,3,0,cloud,Data Science
3.28,97,50,67,5,8,6,6,1,3,2,cloud,Web Development
3.38,56,42,55,3,7,8,2,5,1,2,security,Cyber Security
4.0,89,77,66,3,0,0,4,1,3,0,web,Web Development
2.86,91,98,82,8,1,2,3,4,0,5,security,AI / Machine Learning Engineering
3.64,57,65,92,6,0,9,9,6,1,4,ai,AI / Machine Learning Engineering
3.41,78,48,93,4,6,0,4,1,3,4,data,Data Science
3.09,98,57,43,0,1,7,5,1,3,5,web,Cyber Security
3.08,90,94,88,8,9,5,4,6,0,1,ai,AI / Machine Learning Engineering
2.86,74,45,51,5,2,2,7,7,2,1,data,Data Science
3.61,99,53,52,4,8,6,6,5,1,0,cloud,Web Development
2.37,89,51,64,0,9,8,3,8,2,2,security,Cyber Security
3.91,67,72,43,8,1,2,9,7,1,5,web,Cloud / DevOps Engineering
3.65,52,89,86,8,6,2,2,6,0,1,cloud,AI / Machine Learning Engineering
2.96,94,67,67,0,2,3,0,4,1,2,data,Data Science
2.81,85,47,83,6,6,5,4,9,3,4,cloud,Data Science
2.47,82,57,62,0,4,8,6,6,2,4,ai,Cyber Security
3.67,96,70,60,9,7,0,6,3,0,5,web,Web Development
3.46,94,92,74,0,7,2,1,0,3,4,data,Web Development
3.29,55,73,68,2,6,2,8,5,2,0,web,Web Development
3.41,45,60,97,5,8,6,9,9,1,0,ai,Cloud / DevOps Engineering
3.16,59,54,57,1,3,9,9,8,3,2,data,Data Science
4.0,49,99,95,8,3,6,1,5,3,3,ai,AI / Machine Learning Engineering
3.48,64,70,89,3,6,0,1,8,0,1,web,Data Science
3.72,58,61,98,2,7,8,3,8,3,2,cloud,Data Science
3.08,67,55,91,2,9,0,6,9,1,3,data,Data Science
4.0,65,90,73,2,5,2,9,4,1,5,cloud,Cloud / DevOps Engineering
3.21,47,95,93,3,2,2,5,7,2,2,cloud,Data Science
3.64,75,76,80,0,2,4,2,3,2,5,web,Data Science
2.58,89,54,54,5,1,3,6,7,2,2,web,Data Science
3.05,46,68,94,8,5,7,5,1,0,4,security,Cyber Security
3.4,97,88,82,0,9,6,1,3,0,1,security,Cyber Security
3.65,41,48,82,3,5,5,5,1,2,4,data,Cloud / DevOps Engineering
3.21,57,66,82,0,9,8,6,3,3,5,data,Web Development
3.16,88,76,82,6,9,0,1,6,1,2,data,Web Development
2.52,97,40,43,0,3,1,4,9,1,0,data,Data Science
2.77,63,86,46,2,5,8,6,2,1,5,web,Web Development
3.65,54,85,95,5,2,7,6,2,0,3,data,AI / Machine Learning Engineering
2.88,65,55,67,0,3,9,0,8,2,3,web,Cyber Security
2.83,56,76,51,5,5,8,3,0,1,4,web,Web Development
3.52,66,96,44,1,6,9,0,6,1,5,web,Web Development
3.87,97,71,70,1,6,8,0,3,3,5,ai,Cyber Security
3.09,86,81,90,7,8,0,1,9,1,3,web,Web Development
3.65,64,76,87,4,5,8,7,7,1,0,data,Data Science
3.47,60,57,94,7,9,0,1,9,3,3,cloud,Data Science
3.58,48,52,54,4,6,2,9,3,1,0,security,Cloud / DevOps Engineering
3.24,83,72,51,0,7,2,0,6,1,2,cloud,Web Development
3.05,93,55,55,9,7,6,5,3,3,0,ai,AI / Machine Learning Engineering
2.86,43,65,50,1,0,9,0,7,1,1,security,Cyber Security
2.8,41,59,59,2,6,7,1,3,1,2,ai,Cyber Security
2.54,46,71,87,2,5,3,4,4,3,2,security,Cyber Security
3.26,47,60,96,5,7,9,7,2,2,5,ai,Cyber Security
3.43,40,51,78,3,9,1,9,4,1,0,cloud,Cloud / DevOps Engineering
3.43,96,51,48,1,7,9,4,3,1,4,cloud,Cyber Security
2.41,78,59,63,6,6,8,0,9,1,5,data,Data Science
2.85,47,60,95,5,4,8,6,7,0,2,security,Cyber Security
3.27,64,50,62,1,8,3,7,6,0,0,cloud,Cloud / DevOps Engineering
3.87,85,63,47,4,9,6,3,0,2,1,cloud,Web Development
2.91,58,97,62,5,0,7,1,4,0,1,cloud,AI / Machine Learning Engineering
3.28,97,51,41,1,4,5,1,4,2,1,cloud,Data Science
3.25,50,49,91,8,4,1,9,7,2,3,security,Cloud / DevOps Engineering
3.43,76,62,68,4,0,6,7,6,2,5,security,Cyber Security
3.54,93,67,95,2,4,1,1,6,1,4,security,Data Science
3.61,90,49,82,8,5,4,2,5,2,1,ai,AI / Machine Learning Engineering
2.93,80,53,43,8,1,9,3,4,1,1,ai,Cyber Security
3.45,62,41,88,7,7,6,7,2,2,1,cloud,Cloud / DevOps Engineering
3.48,69,83,69,3,2,5,0,5,1,0,cloud,Data Science
2.98,60,54,56,1,4,2,1,3,3,3,security,Data Science
3.13,49,71,81,8,6,4,9,9,1,5,ai,AI / Machine Learning Engineering
3.47,82,58,75,1,0,7,0,0,3,1,ai,Cyber Security
3.59,44,95,60,1,5,8,2,0,0,4,data,Cyber Security
2.52,91,83,84,1,4,7,6,6,1,2,ai,Data Science
3.48,81,81,98,3,8,0,1,3,2,0,ai,Web Development
2.99,58,51,57,0,7,2,6,0,0,3,ai,Web Development
3.71,60,88,84,0,9,6,5,1,3,5,data,Web Development
3.51,73,46,75,1,5,8,8,7,2,2,cloud,Cloud / DevOps Engineering
3.98,62,87,59,5,6,3,7,8,0,0,data,Data Science
4.0,56,43,46,8,2,6,6,6,1,5,web,AI / Machine Learning Engineering
3.36,61,49,90,2,0,6,7,1,3,1,ai,Cyber Security
2.97,63,77,43,7,2,2,3,8,0,5,ai,AI / Machine Learning Engineering
2.98,56,80,41,8,3,1,3,9,1,2,cloud,AI / Machine Learning Engineering
3.63,95,49,72,8,7,5,2,2,3,4,web,Web Development
3.02,84,46,84,1,5,8,3,8,1,1,web,Data Science
3.57,77,41,61,3,8,0,7,4,0,3,ai,Web Development
2.78,98,87,83,1,6,0,5,5,2,1,cloud,Web Development
3.26,63,66,69,9,9,6,9,4,2,5,ai,AI / Machine Learning Engineering
3.11,78,43,42,7,3,0,5,9,2,2,ai,Data Science
4.0,67,78,40,8,5,3,2,2,1,1,data,AI / Machine Learning Engineering
2.92,60,88,86,5,0,2,9,4,1,1,security,AI / Machine Learning Engineering
3.34,40,55,76,2,3,7,6,4,1,5,security,Cyber Security
2.72,47,90,93,4,7,3,7,9,1,1,ai,Data Science
3.0,93,76,61,6,6,8,7,5,3,5,ai,AI / Machine Learning Engineering
3.59,81,46,81,3,8,9,1,8,0,4,web,Data Science
2.55,92,41,97,9,1,6,1,5,0,3,cloud,AI / Machine Learning Engineering
3.23,86,42,85,6,7,5,9,0,3,1,security,Cyber Security
2.96,96,73,50,0,9,2,3,4,2,4,cloud,Web Development
3.33,46,88,65,0,4,1,8,6,3,3,web,Cloud / DevOps Engineering
3.53,55,97,58,0,4,2,5,7,2,4,data,Data Science
3.61,78,68,93,9,4,0,2,8,2,5,ai,AI / Machine Learning Engineering
3.07,80,58,98,4,1,3,6,6,3,2,web,Data Science
3.62,96,68,89,8,5,7,9,3,1,1,data,Cloud / DevOps Engineering
2.84,84,81,57,9,3,9,8,8,1,4,ai,AI / Machine Learning Engineering
3.04,70,84,48,9,0,2,1,2,1,0,ai,AI / Machine Learning Engineering
3.41,74,94,62,8,1,5,8,1,3,1,ai,AI / Machine Learning Engineering
3.72,69,46,45,5,6,2,2,9,0,5,cloud,Data Science
3.08,83,61,92,1,7,1,8,8,2,3,security,Data Science
3.61,89,81,68,6,8,0,2,4,2,0,ai,AI / Machine Learning Engineering
3.64,65,44,61,0,6,0,1,1,0,5,cloud,Web Development
3.48,89,77,81,7,1,8,7,9,0,5,ai,AI / Machine Learning Engineering
3.48,62,87,46,7,1,8,4,8,1,4,ai,AI / Machine Learning Engineering
3.05,88,58,42,1,6,8,3,4,2,2,ai,Cyber Security
3.17,63,74,61,3,6,9,2,5,2,3,ai,Cyber Security
2.78,41,77,70,2,7,9,2,9,1,0,data,Data Science
3.17,94,83,75,0,7,9,3,2,3,3,ai,Cyber Security
3.35,78,69,85,4,2,6,8,1,3,0,data,Cloud / DevOps Engineering
3.31,77,59,89,8,1,8,9,5,0,0,cloud,AI / Machine Learning Engineering
3.29,69,44,73,5,6,8,5,2,3,4,cloud,Cloud / DevOps Engineering
3.61,91,51,52,9,6,8,7,8,3,1,data,Data Science
3.09,55,80,49,7,1,0,1,6,3,1,data,Data Science
3.3,72,64,60,0,6,8,0,9,1,4,ai,Data Science
