gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_binary,tenure_group,num_services,avg_monthly_spend,has_internet,TotalCharges_log,tenure_x_monthly,charges_per_service,spend_to_tenure_ratio,tenure^2,tenure MonthlyCharges,MonthlyCharges^2,customer_segment
Female,Yes,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,0,25-48,6,70.10600000000001,1,7.4694546091209375,1737.5,11.583333333333334,67.40961538461539,625.0,1737.5,4830.25,2
Female,Yes,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,1,0-12,4,79.1625,1,6.4525220286398515,645.2,20.1625,70.36666666666666,64.0,645.2,6504.422500000001,2
Female,Yes,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,0,49-60,7,74.27250000000001,1,8.402309698021336,4491.0,10.692857142857141,73.05491803278689,3600.0,4491.0,5602.522499999999,1
Male,Yes,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,1,13-24,5,97.36388888888888,1,7.4693975835734765,1718.1000000000001,19.09,92.23947368421052,324.0,1718.1000000000001,9110.702500000001,2
Female,No,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,0,61-72,6,100.17777777777778,1,8.750239547701803,6277.950000000001,16.608333333333334,98.6125,3969.0,6277.950000000001,9930.122500000001,1
Male,Yes,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,0,61-72,8,107.21742424242424,1,8.864654822837052,7157.7,13.55625,105.61716417910448,4356.0,7157.7,11761.4025,1
Female,No,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,No,0,25-48,2,26.302941176470586,0,6.7971588576401105,848.3,12.475,25.55142857142857,1156.0,848.3,622.5024999999999,3
Female,No,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,0,61-72,7,109.07916666666667,1,8.968867357726134,7740.0,15.357142857142858,107.58493150684932,5184.0,7740.0,11556.25,1
Female,No,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,0,25-48,6,100.15106382978725,1,8.457039708596394,4723.5,16.75,98.06458333333335,2209.0,4723.5,10100.25,1
Male,No,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,0,49-60,5,90.845,1,8.603682765623805,5394.0,17.98,89.35573770491803,3600.0,5394.0,8082.010000000001,1
Male,No,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,No,0,61-72,4,41.138888888888886,1,7.993957547573565,3031.2000000000003,10.525,40.57534246575342,5184.0,3031.2000000000003,1772.41,3
Female,No,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,0,13-24,4,53.172222222222224,1,6.864952156656828,979.1999999999999,13.6,50.373684210526314,324.0,979.1999999999999,2959.3599999999997,0
Female,No,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,1,0-12,5,95.25,1,6.754895432337801,849.6,18.880000000000003,85.725,81.0,849.6,8911.36,2
Female,No,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,0,0-12,6,81.36666666666666,1,5.501666290534067,225.89999999999998,12.549999999999999,61.025,9.0,225.89999999999998,5670.089999999999,2
Male,No,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,0,25-48,4,77.66702127659575,1,8.202852241207772,3708.3,19.725,76.04895833333333,2209.0,3708.3,6225.210000000001,1
Female,No,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,0,25-48,7,80.55483870967741,1,7.823325751531809,2455.2000000000003,11.314285714285715,78.0375,961.0,2455.2000000000003,6272.64,2
Female,No,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,No,0,49-60,1,18.618,0,6.83722551279161,1007.4999999999999,20.15,18.25294117647059,2500.0,1007.4999999999999,406.0224999999999,3
Male,No,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,0,0-12,4,88.735,1,6.789365809481915,798.5,19.9625,80.66818181818182,100.0,798.5,6376.022499999999,2
Male,No,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No,0,0-12,3,49.05,1,3.9130225057612296,49.05,16.349999999999998,24.525,1.0,49.05,2405.9024999999997,0
Female,No,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,No,0,49-60,1,20.974038461538463,0,6.995445592109125,1060.8,20.4,20.578301886792456,2704.0,1060.8,416.15999999999997,3
Male,Yes,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,No,0,61-72,8,110.921875,1,8.867850063029406,7142.4,13.95,109.21538461538462,4096.0,7142.4,12454.56,1
Male,No,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,0,61-72,2,22.97741935483871,0,7.262348056716545,1503.5,12.125,22.61269841269841,3844.0,1503.5,588.0625,3
Female,No,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,0,0-12,5,59.13333333333333,1,5.184028220145909,193.5,12.9,44.35,9.0,193.5,4160.25,2
Female,Yes,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,0,49-60,8,109.63392857142857,1,8.722661451050438,6188.0,13.8125,107.71052631578948,3136.0,6188.0,12210.25,1
Female,No,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,0,25-48,3,58.45326086956521,1,7.8972407089593375,2559.9,18.55,57.2095744680851,2116.0,2559.9,3096.9224999999997,3
Female,No,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,0,0-12,4,60.28125,1,6.18053411808844,437.2,13.6625,53.583333333333336,64.0,437.2,2986.6225,0
Male,Yes,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,0,25-48,6,70.37666666666668,1,7.655532680193197,2242.5,12.458333333333334,68.10645161290323,900.0,2242.5,5587.5625,2
Female,No,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,No,0,25-48,2,27.035555555555554,0,7.104636987107422,1165.5,12.95,26.44782608695652,2025.0,1165.5,670.81,3
Female,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,1,0-12,3,79.35,1,4.386392092183521,79.35,26.45,39.675,1.0,79.35,6296.422499999999,2
Female,No,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,0,0-12,4,51.39545454545455,1,6.339212261646723,556.05,12.6375,47.112500000000004,121.0,556.05,2555.3025,0
Female,No,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,1,0-12,3,70.98571428571428,1,6.210399253648137,526.0500000000001,25.05,62.1125,49.0,526.0500000000001,5647.522500000001,2
Female,No,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,0,25-48,7,103.03571428571429,1,8.372976340655828,4359.599999999999,14.828571428571427,100.63953488372093,1764.0,4359.599999999999,10774.439999999999,1
Female,No,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,0,49-60,1,19.864285714285714,0,6.881770582010144,987.3499999999999,20.15,19.467,2401.0,987.3499999999999,406.0224999999999,3
Male,No,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,0,0-12,6,102.08333333333333,1,6.824101893984884,893.6999999999999,16.55,91.875,81.0,893.6999999999999,9860.49,2
Female,No,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,0,25-48,4,63.29857142857142,1,7.703662095843597,2175.25,15.5375,61.540277777777774,1225.0,2175.25,3862.6225,2
Female,No,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,No,0,25-48,1,22.020833333333332,0,6.964135612418245,991.1999999999999,20.65,21.571428571428573,2304.0,991.1999999999999,426.42249999999996,3
Female,No,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,No,0,25-48,1,20.15434782608696,0,6.833139485601347,917.6999999999999,19.95,19.72553191489362,2116.0,917.6999999999999,398.0025,3
Male,No,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,No,0,25-48,2,34.80172413793103,1,6.917953103958583,978.75,16.875,33.641666666666666,841.0,978.75,1139.0625,0
Male,No,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,0,25-48,4,85.67333333333333,1,7.852127994983248,2461.5,20.5125,82.90967741935484,900.0,2461.5,6732.202499999999,2
Male,Yes,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,No,0,0-12,3,74.7,1,4.3267781604434035,74.7,24.900000000000002,37.35,1.0,74.7,5580.09,2
Male,No,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,No,0,61-72,8,86.57954545454545,1,8.65089331980408,5544.0,10.5,85.28731343283582,4356.0,5544.0,7056.0,1
Female,No,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,No,0,61-72,8,109.33846153846154,1,8.868976189274543,7218.25,13.88125,107.68181818181819,4225.0,7218.25,12332.102499999999,1
Male,No,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,0,61-72,7,103.59791666666666,1,8.917317395588213,7264.8,14.414285714285715,102.17876712328767,5184.0,7264.8,10180.810000000001,1
Female,No,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,1,0-12,4,77.27916666666667,1,6.83340881685348,947.4000000000001,19.7375,71.33461538461539,144.0,947.4000000000001,6233.102500000001,2
Male,No,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,No,0,61-72,6,66.8830985915493,1,8.465836737139407,4746.349999999999,11.141666666666666,65.95416666666667,5041.0,4746.349999999999,4468.9225,1
Male,No,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes,1,0-12,1,22.77,0,4.743626929135107,105.25,21.05,18.974999999999998,25.0,105.25,443.1025,0
Male,No,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,No,0,49-60,1,21.292307692307695,0,7.010492356433249,1092.0,21.0,20.89056603773585,2704.0,1092.0,441.0,3
Female,Yes,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,1,25-48,6,100.58,1,7.830226869931373,2462.5,16.416666666666668,96.71153846153847,625.0,2462.5,9702.25,2
